cards,strength,rating,%
AsAdKdQs,159.5,1,
AhAdKhQd,159.5,1,
AsAhKsQh,159.5,1,
AhAdKdQh,159.5,1,
AhAcKhQc,159.5,1,
AsAcKcQs,159.5,1,
AsAcKsQc,159.5,1,
AdAcKdQc,159.5,1,
AdAcKcQd,159.5,1,
AsAhKhQs,159.5,1,
AhAcKcQh,159.5,1,
AsAdKsQd,159.5,1,
AsAdQsJd,141.5,1,
AsAdKsJd,138.5,1,
AhAcKhJc,138.5,1,
AdAcKdJc,138.5,1,
AsAhQsQh,201,1,
AsAhKsJh,138.5,1,
AdAcQdJc,141.5,1,
AsAdKsKd,213.5,1,
AhAdQdJh,141.5,1,
AsAhQhJs,141.5,1,
AsAdKdJs,138.5,1,
AhAdQhQd,201,1,
AsAcKsJc,138.5,1,
AdAcQcJd,141.5,1,
AsAcQsJc,141.5,1,
AsAcQsQc,201,1,
AhAcKhKc,213.5,1,
AdAcKdKc,213.5,1,
AsAcQcJs,141.5,1,
AhAcQhQc,201,1,
AsAdQdJs,141.5,1,
AhAdKhKd,213.5,1,
AhAdKdJh,138.5,1,
AsAdQsQd,201,1,
AsAhKhJs,138.5,1,
AsAhKsKh,213.5,1,
AhAcKcJh,138.5,1,
AdAcKcJd,138.5,1,
AsAhQsJh,141.5,1,
AhAdKhJd,138.5,1,
AhAdQhJd,141.5,1,
AdAcQdQc,201,1,
AsAcKsKc,213.5,1,
AsAcKcJs,138.5,1,
AhAcQcJh,141.5,1,
AhAcQhJc,141.5,1,
AsKsKdQd,140,1,
AhKhKdQd,140,1,
AhAdQdTh,131.5,1,
AhAcJhTc,135.5,1,
AdAcTdTc,168,1,
AdKsKdQs,140,1,
AsAdKsQs,138.5,1,
AhAdKhQh,138.5,1,
AsAcJsJc,170.5,1,
AsAcJcTs,135.5,1,
AsAhJhTs,135.5,1,
AsAhJsJh,170.5,1,
AsAdQsTd,131.5,1,
AsAdKsTd,138.5,1,
AhAcJcTh,135.5,1,
AhAcJhJc,170.5,1,
AsAhKsQs,138.5,1,
AsAdJsTd,135.5,1,
AsAdTsTd,168,1,
AhAdKhTd,138.5,1,
AsAhKhQh,138.5,1,
AhAdKdQd,138.5,1,
AdAcJdJc,170.5,1,
AdAcJcTd,135.5,1,
AsKsKhQh,140,1,
AsAhQhTs,131.5,1,
AsAdJdTs,135.5,1,
AsAdJsJd,170.5,1,
AhAdJhJd,170.5,1,
AhAdJdTh,135.5,1,
AsAcTsTc,168,1,
AhAcQhTc,131.5,1,
AsAdKdQd,138.5,1,
AsAcKsTc,138.5,1,
AsAcQsTc,131.5,1,
AsAcJsTc,135.5,1,
AhAcKhTc,138.5,1,
AhKhKcQc,140,1,
AhAcQcTh,131.5,1,
AhAdThTd,168,1,
AsAcQcTs,131.5,1,
AdAcKdQd,138.5,1,
AhAcKhQh,138.5,1,
AsAcKsQs,138.5,1,
AsAcKcTs,138.5,1,
AcKsKcQs,140,1,
AdAcKcQc,138.5,1,
AhAcKcQc,138.5,1,
AsAcKcQc,138.5,1,
AhAdQhTd,131.5,1,
AhAdJhTd,135.5,1,
AdKdKcQc,140,1,
AdAcQcTd,131.5,1,
AsKsKcQc,140,1,
AcKdKcQd,140,1,
AsAhTsTh,168,1,
AhKsKhQs,140,1,
AcKhKcQh,140,1,
AhAcKcTh,138.5,1,
AsAhJsTh,135.5,1,
AsAhKsTh,138.5,1,
AsAhQsTh,131.5,1,
AdAcKcTd,138.5,1,
AdAcQdTc,131.5,1,
AsAdQdTs,131.5,1,
AhAcThTc,168,1,
AdAcKdTc,138.5,1,
AsAhKhTs,138.5,1,
AdAcJdTc,135.5,1,
AhAdKdTh,138.5,1,
AdKhKdQh,140,1,
AsAdKdTs,138.5,1,
AdKdQsTs,91,1,
AdKdJsTs,88,1,
AdKdQhJh,108,1,
AdKdQhTh,91,1,
AdKdJhTh,88,1,
AdKsQdJs,104,1,
AcQhJhTc,90,1,
AhKhQsJs,108,1,
AhKhQsTs,91,1,
AhKhJsTs,88,1,
AcKdQdTc,85,1,
AcKdJdTc,78,2,
AcQdJdTc,90,1,
AcKcQhJh,108,1,
AcKcQhTh,91,1,
AcKcJhTh,88,1,
AsKsQhTh,91,1,
AsQhJsTh,88,1,
AcKcQdJd,108,1,
AcKcQdTd,91,1,
AcKcJdTd,88,1,
AsKhQsTh,86,1,
AsKhJsTh,75,2,
AhKsQsTh,85,1,
AhKsJsTh,78,2,
AhQsJsTh,90,1,
AcKsQcJs,104,1,
AcKsQcTs,86,1,
AhKhJdTd,88,1,
AhQhJdTd,96,1,
AcKcQsJs,108,1,
AcKcQsTs,91,1,
AcKcJsTs,88,1,
AsKsJhTh,88,1,
AsQsJhTh,96,1,
AcQcJsTs,96,1,
AcKhQcJh,104,1,
AcKhQcTh,86,1,
AcQcJhTh,96,1,
AhKhJcTc,88,1,
AhQhJcTc,96,1,
AdKdJcTc,88,1,
AdQdJcTc,96,1,
AcKdQcJd,104,1,
AcKdQcTd,86,1,
AcQcJdTd,96,1,
AsKcQcJs,100,1,
AsKcQcTs,85,1,
AhKcQcJh,100,1,
AhKcQcTh,85,1,
AdKcQcJd,100,1,
AdKcQcTd,85,1,
AsQhJhTs,90,1,
AsKsJcTc,88,1,
AsQsJcTc,96,1,
AdKhQhTd,85,1,
AdKhJhTd,78,2,
AdQhJhTd,90,1,
AsKdQsTd,86,1,
AsKdJsTd,75,2,
AhKdQhTd,86,1,
AhKdJhTd,75,2,
AsKsQdTd,91,1,
AsQdJsTd,88,1,
AhKhQdTd,91,1,
AhQdJhTd,88,1,
AsKsJdTd,88,1,
AsQsJdTd,96,1,
AsKsQhJh,108,1,
AsKhQsJh,104,1,
AsKhJhTs,78,2,
AcKsQsJc,100,1,
AcKsJcTs,75,2,
AcQsJcTs,88,1,
AhQcJhTc,88,1,
AdKdQcTc,91,1,
AdQcJdTc,88,1,
AhQsJhTs,88,1,
AhKsQsJh,100,1,
AhKsJhTs,75,2,
AcKhQhJc,100,1,
AcKhJcTh,75,2,
AcQhJcTh,88,1,
AsKsQcTc,91,1,
AsQcJsTc,88,1,
AhKhQcTc,91,1,
AsKdJdTs,78,2,
AhKdQhJd,104,1,
AhKdJdTh,78,2,
AsKsQdJd,108,1,
AsQdJdTs,90,1,
AhKhQdJd,108,1,
AhQdJdTh,90,1,
AdKsQsTd,85,1,
AdKsJsTd,78,2,
AdQsJsTd,90,1,
AcKdQdJc,100,1,
AcKdJcTd,75,2,
AcQdJcTd,88,1,
AsKcQsJc,104,1,
AsKcJcTs,78,2,
AhKcQhJc,104,1,
AhKcJcTh,78,2,
AdKcQdJc,104,1,
AdKcJcTd,78,2,
AsKhQhTs,85,1,
AsKsQcJc,108,1,
AdKsQsJd,100,1,
AdKsJdTs,75,2,
